,Item_Identifier,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales
0,FDE35,Regular,0.0,Starchy Foods,59.8904,OUT027,1985,Tier 3,Supermarket Type3,1757.712
1,FDX36,Regular,0.224607399,Baking Goods,223.1404,OUT019,1985,Tier 1,Grocery Store,450.0808
2,NCV18,Low Fat,0.105225964,Household,84.225,OUT035,2004,Tier 2,Supermarket Type1,3162.55
3,NCP43,Low Fat,0.053413906,Others,181.766,OUT019,1985,Tier 1,Grocery Store,179.766
4,FDK03,Regular,0.123727659,Dairy,253.0356,OUT010,1998,Tier 3,Grocery Store,254.3356
5,FDT60,Low Fat,0.075975642,Baking Goods,124.1388,OUT017,2007,Tier 2,Supermarket Type1,1486.0656
6,FDI41,reg,0.062609071,Frozen Foods,148.6418,OUT017,2007,Tier 2,Supermarket Type1,1765.7016
7,FDD05,Low Fat,0.016597651,Frozen Foods,121.5098,OUT013,1987,Tier 3,Supermarket Type1,2892.2352
8,NCO17,Low Fat,0.128478462,Health and Hygiene,117.944,OUT019,1985,Tier 1,Grocery Store,239.688
9,FDK44,Low Fat,0.0,Fruits and Vegetables,173.3738,OUT046,1997,Tier 1,Supermarket Type1,2085.2856
10,FDT13,Low Fat,0.01867669,Canned,188.7214,OUT017,2007,Tier 2,Supermarket Type1,3956.8494
11,FDJ27,Regular,0.122372504,Meat,101.5674,OUT018,2009,Tier 3,Supermarket Type2,1629.8784
12,NCJ42,Low Fat,0.014232071,Household,100.9332,OUT027,1985,Tier 3,Supermarket Type3,1743.0644
13,FDZ26,Regular,0.143990173,Dairy,239.6222,OUT035,2004,Tier 2,Supermarket Type1,2390.222
14,NCN18,Low Fat,0.125222705,Household,113.3544,OUT018,2009,Tier 3,Supermarket Type2,1006.6896
15,DRP35,Low Fat,0.090850115,Hard Drinks,126.6336,OUT035,2004,Tier 2,Supermarket Type1,1150.5024
16,FDP46,Low Fat,0.13064231,Snack Foods,88.383,OUT019,1985,Tier 1,Grocery Store,89.883
17,FDE26,Low Fat,0.089186275,Canned,145.3786,OUT045,2002,Tier 2,Supermarket Type1,2745.0934
18,FDI27,Regular,0.04605781,Dairy,43.8744,OUT049,1999,Tier 1,Supermarket Type1,633.8416
19,DRG03,Low Fat,0.062239081,Dairy,154.2998,OUT018,2009,Tier 3,Supermarket Type2,1691.7978
20,NCX29,Low Fat,0.149223055,Health and Hygiene,145.8102,OUT010,1998,Tier 3,Grocery Store,874.8612
21,FDM21,Low Fat,0.06449461,Snack Foods,259.2646,OUT045,2002,Tier 2,Supermarket Type1,3091.9752
22,NCJ17,Low Fat,0.153419412,Health and Hygiene,86.4224,OUT017,2007,Tier 2,Supermarket Type1,511.3344
23,FDJ03,Regular,0.072541731,Dairy,48.5692,OUT045,2002,Tier 2,Supermarket Type1,886.8456
24,NCE55,Low Fat,0.130663423,Household,175.237,OUT017,2007,Tier 2,Supermarket Type1,2117.244
25,FDD56,Regular,0.104201019,Fruits and Vegetables,176.5054,OUT018,2009,Tier 3,Supermarket Type2,2976.7918
26,FDC14,Regular,0.041249072,Canned,40.5454,OUT046,1997,Tier 1,Supermarket Type1,1216.4166
27,FDU47,Regular,0.114318263,Breads,142.2838,OUT018,2009,Tier 3,Supermarket Type2,421.4514
